index,ID,label
56,201101070953,1
57,201101091153,1
58,201101091156,1
59,201101152255,1
60,201101152256,1
61,201101160804,1
62,201101160808,1
63,201101161027,1
64,201101241423,1
65,201101241433,1
66,201101241434,1
67,201102070251,1
68,201102071835,1
69,201102081045,1
70,201102241217,1
71,201103150114,1
72,201103170122,1
73,201103170134,1
74,201103182227,1
75,201103200218,1
76,201104012144,1
77,201104021355,1
78,201104140118,1
79,201104270458,1
80,201104270459,1
81,20110501548,1
82,127_1306764300147_C2,1
83,128_1306344005749_A,1
84,130_1306347376079_D,1
85,134_1306428161797_C1,1
86,138_1306762146980_B,1
87,140_1306519735121_D,1
88,144_1306522408528_B,1
89,144_1306522408528_B1,1
90,148_1306768801551_B,1
91,151_1306779785624_B,1
92,153_1306848820671_C,1
93,154_1306935608852_D2,1
94,163_1307104470471_C,1
95,179_1307990076841_C,1
96,184_1308073010307_A,1
97,190_1308076920011_C,1
98,191_1308077299430_A,1
99,194_1308139824187_B,1
100,198_1308141739338_B,1
101,198_1308141739338_B1,1
102,202_1308145175747_C1,1
103,202_1308145175747_C2,1
104,207_1308159792607_B,1
105,207_1308159792607_B1,1
106,209_1308162216750_D,1
107,210_1308162935880_C,1
108,213_1308245263936_D,1
109,215_1308245664733_B,1
110,215_1308245664733_B1,1
111,216_1308245839516_A,1
112,216_1308245839516_B,1
113,220_1308250132896_B,1
114,224_1308337157445_B,1
115,229_1308594979317_B,1
116,235_1308749032454_B,1
117,237_1308750231222_A,1
118,237_1308750231222_C,1
119,249_1309202052376_C,1
120,253_1309350256198_B,1
121,261_1309353556003_C,1
122,265_1309367698923_C,1
123,274_1311075637574_A,1
124,275_1310990852160_B,1
125,286_1311170606028_D,1
126,294_1311681084248_C,1
127,298_1311685888900_C,1
128,112_1306243000964_A,1
129,112_1306243000964_B,1
130,112_1306243000964_D,1
131,116_1306258689913_A,1
132,116_1306258689913_C,1
133,116_1306258689913_D,1
134,122_1306325762831_C,1
135,122_1306325762831_D,1
136,135_1306428972976_A,1
137,135_1306428972976_B,1
138,135_1306428972976_C,1
139,156_1306936373241_A,1
140,156_1306936373241_B,1
141,156_1306936373241_B1,1
142,160_1307100683334_A,1
143,160_1307100683334_B,1
144,160_1307100683334_D,1
145,161_1307101199321_A,1
146,161_1307101199321_B,1
147,161_1307101199321_C,1
148,162_1307101835989_A,1
149,162_1307101835989_B,1
150,162_1307101835989_B_1,1
151,162_1307101835989_D,1
152,164_1307106095995_B,1
153,164_1307106095995_C,1
154,164_1307106095995_C1,1
155,165_1307109069581_A,1
156,165_1307109069581_C,1
157,165_1307109069581_C1,1
158,165_1307109069581_C2,1
159,165_1307109069581_D,1
160,171_1307971016233_D,1
161,171_1307971016233_D1,1
162,171_1307971016233_E,1
163,171_1307971016233_F,1
164,185_1308073325396_B,1
165,185_1308073325396_C,1
166,185_1308073325396_D,1
167,193_1308078104592_B,1
168,193_1308078104592_C,1
169,193_1308078104592_C1,1
170,195_1308140095331_A,1
171,195_1308140095331_C,1
172,195_1308140095331_C1,1
173,196_1308141034858_B,1
174,196_1308141034858_C,1
175,197_1308141235553_A,1
176,197_1308141235553_C,1
177,197_1308141235553_D,1
178,200_1308144251434_C,1
179,200_1308144251434_D,1
180,201101051104,1
181,201101051105,1
182,201101051108,1
183,201101051114,1
184,201101061552,1
185,201101180902,1
186,201101220549,1
187,201102051443,1
188,201102052338,1
189,201103200518,1
190,201103291548,1
191,201104241315,1
192,201104291843,1
193,201105031730,1
194,201106141148,1
195,201108222221,1
196,201108222222,1
197,201108222223,1
198,201108222224,1
199,201108222225,1
200,201108222226,1
